Year,League,Player,Team,Batting Average
1876,NL,Ross Barnes,CHICAGO,0.429
1877,NL,Deacon White,BOSTON,0.387
1878,NL,Paul Hines,PROVIDENCE,0.358
1879,NL,Paul Hines,PROVIDENCE,0.357
1880,NL,George Gore,CHICAGO,0.36
1881,NL,Cap Anson,CHICAGO,0.399
1882,NL,Dan Brouthers,BUFFALO,0.368
1883,NL,Dan Brouthers,BUFFALO,0.374
1884,NL,King Kelly,CHICAGO,0.354
1885,NL,Roger Connor,NEW YORK,0.371
1886,NL,King Kelly,CHICAGO,0.388
1887,NL,Cap Anson,CHICAGO,0.347
1888,NL,Cap Anson,CHICAGO,0.344
1889,NL,Dan Brouthers,BOSTON,0.373
1890,NL,Jack Glasscock,NEW YORK,0.336
1891,NL,Billy Hamilton,PHILADELPHIA,0.34
1892,NL,Dan Brouthers,BROOKLYN,0.335
1893,NL,Sam Thompson,PHILADELPHIA,0.37
1894,NL,Hugh Duffy,BOSTON,0.44
1895,NL,Jesse Burkett,CLEVELAND,0.409
1896,NL,Jesse Burkett,CLEVELAND,0.41
1897,NL,Willie Keeler,BALTIMORE,0.424
1898,NL,Willie Keeler,BALTIMORE,0.385
1899,NL,Ed Delahanty,PHILADELPHIA,0.41
1900,NL,Honus Wagner,PITTSBURGH,0.381
1901,AL,Nap Lajoie,PHILADELPHIA,0.421
1901,NL,Jesse Burkett,ST. LOUIS,0.376
1902,AL,Ed Delahanty,WASHINGTON,0.376
1902,NL,Ginger Beaumont,PITTSBURGH,0.357
1903,AL,Nap Lajoie,CLEVELAND,0.357
1903,NL,Honus Wagner,PITTSBURGH,0.355
1904,AL,Nap Lajoie,CLEVELAND,0.382
1904,NL,Honus Wagner,PITTSBURGH,0.349
1905,AL,Elmer Flick,CLEVELAND,0.308
1905,NL,Cy Seymour,CINCINNATI,0.377
1906,AL,George Stone,ST. LOUIS,0.358
1906,NL,Honus Wagner,PITTSBURGH,0.339
1907,AL,Ty Cobb,DETROIT,0.35
1907,NL,Honus Wagner,PITTSBURGH,0.35
1908,AL,Ty Cobb,DETROIT,0.324
1908,NL,Honus Wagner,PITTSBURGH,0.354
1909,AL,Ty Cobb,DETROIT,0.377
1909,NL,Honus Wagner,PITTSBURGH,0.339
1910,AL,Ty Cobb,DETROIT,0.383
1910,NL,Sherry Magee,PHILADELPHIA,0.331
1911,AL,Ty Cobb,DETROIT,0.419
1911,NL,Honus Wagner,PITTSBURGH,0.334
1912,AL,Ty Cobb,DETROIT,0.409
1912,NL,Heinie Zimmerman,CHICAGO,0.372
1913,AL,Ty Cobb,DETROIT,0.39
1913,NL,Jake Daubert,BROOKLYN,0.35
1914,AL,Ty Cobb,DETROIT,0.368
1914,NL,Jake Daubert,BROOKLYN,0.329
1915,AL,Ty Cobb,DETROIT,0.369
1915,NL,Larry Doyle,NEW YORK,0.32
1916,AL,Tris Speaker,CLEVELAND,0.386
1916,NL,Hal Chase,CINCINNATI,0.339
1917,AL,Ty Cobb,DETROIT,0.383
1917,NL,Edd Roush,CINCINNATI,0.341
1918,AL,Ty Cobb,DETROIT,0.382
1918,NL,Zack Wheat,BROOKLYN,0.335
1919,AL,Ty Cobb,DETROIT,0.384
1919,NL,Edd Roush,CINCINNATI,0.321
1920,AL,George Sisler,ST. LOUIS,0.407
1920,NL,Rogers Hornsby,ST. LOUIS,0.37
1921,AL,Harry Heilmann,DETROIT,0.394
1921,NL,Rogers Hornsby,ST. LOUIS,0.397
1922,AL,George Sisler,ST. LOUIS,0.42
1922,NL,Rogers Hornsby,ST. LOUIS,0.401
1923,AL,Harry Heilmann,DETROIT,0.403
1923,NL,Rogers Hornsby,ST. LOUIS,0.384
1924,AL,Babe Ruth,NEW YORK,0.378
1924,NL,Rogers Hornsby,ST. LOUIS,0.424
1925,AL,Harry Heilmann,DETROIT,0.393
1925,NL,Rogers Hornsby,ST. LOUIS,0.403
1926,AL,Heinie Manush,DETROIT,0.378
1926,NL,Bubbles Hargrave,CINCINNATI,0.353
1927,AL,Harry Heilmann,DETROIT,0.398
1927,NL,Paul Waner,PITTSBURGH,0.38
1928,AL,Goose Goslin,WASHINGTON,0.379
1928,NL,Rogers Hornsby,BOSTON,0.387
1929,AL,Lew Fonseca,CLEVELAND,0.369
1929,NL,Lefty O'Doul,PHILADELPHIA,0.398
1930,AL,Al Simmons,PHILADELPHIA,0.381
1930,NL,Bill Terry,NEW YORK,0.401
1931,AL,Al Simmons,PHILADELPHIA,0.39
1931,NL,Chick Hafey,ST. LOUIS,0.349
1932,AL,Dale Alexander,BOSTON,0.367
1932,NL,Lefty O'Doul,BROOKLYN,0.368
1933,AL,Jimmie Foxx,PHILADELPHIA,0.356
1933,NL,Chuck Klein,PHILADELPHIA,0.368
1934,AL,Lou Gehrig,NEW YORK,0.363
1934,NL,Paul Waner,PITTSBURGH,0.362
1935,AL,Buddy Myer,WASHINGTON,0.349
1935,NL,Arky Vaughan,PITTSBURGH,0.385
1936,AL,Luke Appling,CHICAGO,0.388
1936,NL,Paul Waner,PITTSBURGH,0.373
1937,AL,Charlie Gehringer,DETROIT,0.371
1937,NL,Joe Medwick,ST. LOUIS,0.374
1938,AL,Jimmie Foxx,BOSTON,0.349
1938,NL,Ernie Lombardi,CINCINNATI,0.342
1939,AL,Joe DiMaggio,NEW YORK,0.381
1939,NL,Johnny Mize,ST. LOUIS,0.349
1940,AL,Joe DiMaggio,NEW YORK,0.352
1940,NL,Stan Hack,CHICAGO,0.317
1941,AL,Ted Williams,BOSTON,0.406
1941,NL,Pete Reiser,BROOKLYN,0.343
1942,AL,Ted Williams,BOSTON,0.356
1942,NL,Ernie Lombardi,BOSTON,0.33
1943,AL,Luke Appling,CHICAGO,0.328
1943,NL,Stan Musial,ST. LOUIS,0.357
1944,AL,Lou Boudreau,CLEVELAND,0.327
1944,NL,Dixie Walker,BROOKLYN,0.357
1945,AL,Snuffy Stirnweiss,NEW YORK,0.309
1945,NL,Phil Cavarretta,CHICAGO,0.355
1946,AL,Mickey Vernon,WASHINGTON,0.353
1946,NL,Stan Musial,ST. LOUIS,0.365
1947,AL,Ted Williams,BOSTON,0.343
1947,NL,Harry Walker,PHILADELPHIA,0.363
1948,AL,Ted Williams,BOSTON,0.369
1948,NL,Stan Musial,ST. LOUIS,0.376
1949,AL,George Kell,DETROIT,0.343
1949,NL,Jackie Robinson,BROOKLYN,0.342
1950,AL,Billy Goodman,BOSTON,0.354
1950,NL,Stan Musial,ST. LOUIS,0.346
1951,AL,Ferris Fain,PHILADELPHIA,0.344
1951,NL,Stan Musial,ST. LOUIS,0.355
1952,AL,Ferris Fain,PHILADELPHIA,0.327
1952,NL,Stan Musial,ST. LOUIS,0.336
1953,AL,Mickey Vernon,WASHINGTON,0.337
1953,NL,Carl Furillo,BROOKLYN,0.344
1954,AL,Bobby Avila,CLEVELAND,0.341
1954,NL,Willie Mays,NEW YORK,0.345
1955,AL,Al Kaline,DETROIT,0.34
1955,NL,Richie Ashburn,PHILADELPHIA,0.338
1956,AL,Mickey Mantle,NEW YORK,0.353
1956,NL,Hank Aaron,MILWAUKEE,0.328
1957,AL,Ted Williams,BOSTON,0.388
1957,NL,Stan Musial,ST. LOUIS,0.351
1958,AL,Ted Williams,BOSTON,0.328
1958,NL,Richie Ashburn,PHILADELPHIA,0.35
1959,AL,Harvey Kuenn,DETROIT,0.353
1959,NL,Hank Aaron,MILWAUKEE,0.355
1960,AL,Pete Runnels,BOSTON,0.32
1960,NL,Dick Groat,PITTSBURGH,0.325
1961,AL,Norm Cash,DETROIT,0.361
1961,NL,Roberto Clemente,PITTSBURGH,0.351
1962,AL,Pete Runnels,BOSTON,0.326
1962,NL,Tommy Davis,LOS ANGELES,0.346
1963,AL,Carl Yastrzemski,BOSTON,0.321
1963,NL,Tommy Davis,LOS ANGELES,0.326
1964,AL,Tony Oliva,MINNESOTA,0.323
1964,NL,Roberto Clemente,PITTSBURGH,0.339
1965,AL,Tony Oliva,MINNESOTA,0.321
1965,NL,Roberto Clemente,PITTSBURGH,0.329
1966,AL,Frank Robinson,BALTIMORE,0.316
1966,NL,Matty Alou,PITTSBURGH,0.342
1967,AL,Carl Yastrzemski,BOSTON,0.326
1967,NL,Roberto Clemente,PITTSBURGH,0.357
1968,AL,Carl Yastrzemski,BOSTON,0.301
1968,NL,Pete Rose,CINCINNATI,0.335
1969,AL,Rod Carew,MINNESOTA,0.332
1969,NL,Pete Rose,CINCINNATI,0.348
1970,AL,Alex Johnson,CALIFORNIA,0.329
1970,NL,Rico Carty,ATLANTA,0.366
1971,AL,Tony Oliva,MINNESOTA,0.337
1971,NL,Joe Torre,ST. LOUIS,0.363
1972,AL,Rod Carew,MINNESOTA,0.318
1972,NL,Billy Williams,CHICAGO,0.333
1973,AL,Rod Carew,MINNESOTA,0.35
1973,NL,Pete Rose,CINCINNATI,0.338
1974,AL,Rod Carew,MINNESOTA,0.364
1974,NL,Ralph Garr,ATLANTA,0.353
1975,AL,Rod Carew,MINNESOTA,0.359
1975,NL,Bill Madlock,CHICAGO,0.354
1976,AL,George Brett,KANSAS CITY,0.333
1976,NL,Bill Madlock,CHICAGO,0.339
1977,AL,Rod Carew,MINNESOTA,0.388
1977,NL,Dave Parker,PITTSBURGH,0.338
1978,AL,Rod Carew,MINNESOTA,0.333
1978,NL,Dave Parker,PITTSBURGH,0.334
1979,AL,Fred Lynn,BOSTON,0.333
1979,NL,Keith Hernandez,ST. LOUIS,0.344
1980,AL,George Brett,KANSAS CITY,0.39
1980,NL,Bill Buckner,CHICAGO,0.324
1981,AL,Carney Lansford,BOSTON,0.336
1981,NL,Bill Madlock,PITTSBURGH,0.341
1982,AL,Willie Wilson,KANSAS CITY,0.332
1982,NL,Al Oliver,MONTREAL,0.331
1983,AL,Wade Boggs,BOSTON,0.361
1983,NL,Bill Madlock,PITTSBURGH,0.323
1984,AL,Don Mattingly,NEW YORK,0.343
1984,NL,Tony Gwynn,SAN DIEGO,0.351
1985,AL,Wade Boggs,BOSTON,0.368
1985,NL,Willie McGee,ST. LOUIS,0.353
1986,AL,Wade Boggs,BOSTON,0.357
1986,NL,Tim Raines,MONTREAL,0.334
1987,AL,Wade Boggs,BOSTON,0.363
1987,NL,Tony Gwynn,SAN DIEGO,0.37
1988,AL,Wade Boggs,BOSTON,0.366
1988,NL,Tony Gwynn,SAN DIEGO,0.313
1989,AL,Kirby Puckett,MINNESOTA,0.339
1989,NL,Tony Gwynn,SAN DIEGO,0.336
1990,AL,George Brett,KANSAS CITY,0.329
1990,NL,Eddie Murray,LOS ANGELES,0.33
1991,AL,Julio Franco,TEXAS,0.341
1991,NL,Terry Pendleton,ATLANTA,0.319
1992,AL,Edgar Martinez,SEATTLE,0.343
1992,NL,Gary Sheffield,SAN DIEGO,0.33
1993,AL,John Olerud,TORONTO,0.363
1993,NL,Andres Galarraga,COLORADO,0.37
1994,AL,Paul O'Neill,NEW YORK,0.359
1994,NL,Tony Gwynn,SAN DIEGO,0.394
1995,AL,Edgar Martinez,SEATTLE,0.356
1995,NL,Tony Gwynn,SAN DIEGO,0.368
1996,AL,Alex Rodriguez,SEATTLE,0.358
1996,NL,Tony Gwynn,SAN DIEGO,0.353
1997,AL,Frank Thomas,CHICAGO,0.347
1997,NL,Tony Gwynn,SAN DIEGO,0.372
1998,AL,Bernie Williams,NEW YORK,0.339
1998,NL,Larry Walker,COLORADO,0.363
1999,AL,Nomar Garciaparra,BOSTON,0.357
1999,NL,Larry Walker,COLORADO,0.379
2000,AL,Nomar Garciaparra,BOSTON,0.372
2000,NL,Todd Helton,COLORADO,0.372
2001,AL,Ichiro Suzuki,SEATTLE,0.35
2001,NL,Larry Walker,COLORADO,0.35
2002,AL,Manny Ramirez,BOSTON,0.349
2002,NL,Barry Bonds,SAN FRANCISCO,0.37
2003,AL,Bill Mueller,BOSTON,0.326
2003,NL,Albert Pujols,ST. LOUIS,0.359
2004,AL,Ichiro Suzuki,SEATTLE,0.372
2004,NL,Barry Bonds,SAN FRANCISCO,0.362
2005,AL,Michael Young,TEXAS,0.331
2005,NL,Derrek Lee,CHICAGO,0.335
2006,AL,Joe Mauer,MINNESOTA,0.347
2006,NL,Freddy Sanchez,PITTSBURGH,0.344
2007,AL,Magglio Ordonez,DETROIT,0.363
2007,NL,Matt Holliday,COLORADO,0.34
2008,AL,Joe Mauer,MINNESOTA,0.328
2008,NL,Chipper Jones,ATLANTA,0.364
2009,AL,Joe Mauer,MINNESOTA,0.365
2009,NL,Hanley Ramirez,FLORIDA,0.342
2010,AL,Josh Hamilton,TEXAS,0.359
2010,NL,Carlos González,COLORADO,0.336
2011,AL,Miguel Cabrera,DETROIT,0.344
2011,NL,Jose Reyes,NEW YORK,0.337
2012,AL,Miguel Cabrera,DETROIT,0.33
2012,NL,Buster Posey,SAN FRANCISCO,0.336
2013,AL,Miguel Cabrera,DETROIT,0.348
2013,NL,Michael Cuddyer,COLORADO,0.331
2014,AL,Jose Altuve,HOUSTON,0.341
2014,NL,Justin Morneau,COLORADO,0.319
2015,AL,Miguel Cabrera,DETROIT,0.338
2015,NL,Dee Strange-Gordon,MIAMI,0.333
2016,AL,Jose Altuve,HOUSTON,0.338
2016,NL,DJ LeMahieu,COLORADO,0.348
2017,AL,Jose Altuve,HOUSTON,0.346
2017,NL,Charlie Blackmon,COLORADO,0.331
2018,AL,Mookie Betts,BOSTON,0.346
2018,NL,Christian Yelich,MILWAUKEE,0.326
2019,AL,Tim Anderson,CHICAGO,0.335
2019,NL,Christian Yelich,MILWAUKEE,0.329
2020,AL,DJ LeMahieu,NEW YORK,0.364
2020,NL,Juan Soto,WASHINGTON,0.351
2021,AL,Yuli Gurriel,HOUSTON,0.319
2021,NL,Trea Turner,LOS ANGELES,0.328
2022,AL,Luis Arraez,MINNESOTA,0.316
2022,NL,Jeff McNeil,NEW YORK,0.326
2023,AL,Yandy Díaz,TAMPA BAY,0.33
2023,NL,Luis Arraez,MIAMI,0.354
2024,AL,Bobby Witt Jr.,KANSAS CITY,0.332
2024,NL,Luis Arraez,MIAMI,0.314
